Country,Rank,Account,Title,Link,Category,Followers,Audience Country,Authentic engagement,Engagement avg,Scraped
All,33,kourtneykardash,Kourtney ❤️,https://www.instagram.com/kourtneykardash/,Lifestyle,162200000,United States,1100000,1500000,50:24.8
All,34,uarmyhope,jhope,https://www.instagram.com/uarmyhope/,,28500000,United States,8500000,8500000,50:24.8
All,35,badbunnypr,,https://www.instagram.com/badbunnypr/,Music,37800000,United States,4100000,6500000,50:24.8
All,36,katrinakaif,Katrina Kaif,https://www.instagram.com/katrinakaif/,Beauty,61600000,India,3300000,3800000,50:24.8
All,37,adele,Adele,https://www.instagram.com/adele/,Music,49100000,United States,2800000,3900000,50:24.8
All,38,harrystyles,,https://www.instagram.com/harrystyles/,Music|Fashion,43000000,Brazil,3000000,4000000,50:24.8
All,39,kingjames,👑,https://www.instagram.com/kingjames/,Sports with a ball,111400000,United States,884300,1500000,50:24.8
All,40,jlo,Jennifer Lopez,https://www.instagram.com/jlo/,Music|Cinema|Actors/actresses,194900000,United States,679200,856000,50:24.8
All,41,k.mbappe,Kylian Mbappé,https://www.instagram.com/k.mbappe/,Sports with a ball,65800000,France,1700000,2400000,50:24.8
All,42,karolg,KAROL G,https://www.instagram.com/karolg/,Music,47300000,Mexico,2600000,3200000,50:24.8
All,43,gigihadid,Gigi Hadid,https://www.instagram.com/gigihadid/,Modeling|Lifestyle,72300000,United States,1300000,1900000,50:24.8
All,44,anushkasharma,AnushkaSharma1588,https://www.instagram.com/anushkasharma/,Cinema|Actors/actresses,56900000,India,2200000,2400000,50:24.8
All,45,narendramodi,Narendra Modi,https://www.instagram.com/narendramodi/,Finance|Economics|Business|Careers,65300000,India,1800000,2000000,50:24.8
All,46,eunwo.o_c,차은우,https://www.instagram.com/eunwo.o_c/,Music|Lifestyle,26500000,Indonesia,3700000,4600000,50:24.8
All,47,dualipa,DUA LIPA,https://www.instagram.com/dualipa/,Music,78700000,Mexico,1200000,1400000,50:24.8
All,48,charlidamelio,cd,https://www.instagram.com/charlidamelio/,Lifestyle|Shows,47100000,United States,1900000,2400000,50:24.8
All,49,ester_exposito,Ester 🌙,https://www.instagram.com/ester_exposito/,Cinema|Actors/actresses,29000000,Russia,2500000,3700000,50:24.8
All,50,mileycyrus,Miley Cyrus,https://www.instagram.com/mileycyrus/,Music,160200000,United States,501600,667900,50:24.8
All,51,georginagio,Georgina Rodríguez,https://www.instagram.com/georginagio/,Lifestyle|Fashion|Clothing|Outfits,33400000,India,2200000,3200000,50:24.8
All,52,actorleeminho,이민호 leeminho,https://www.instagram.com/actorleeminho/,Cinema|Actors/actresses,28200000,Indonesia,2900000,3800000,50:24.8
All,53,gal_gadot,Gal Gadot,https://www.instagram.com/gal_gadot/,Cinema|Actors/actresses,73600000,United States,1100000,1400000,50:24.8
All,54,fcbarcelona,FC Barcelona,https://www.instagram.com/fcbarcelona/,Sports with a ball,105100000,Indonesia,621000,950400,50:24.8
All,55,akshaykumar,Akshay Kumar,https://www.instagram.com/akshaykumar/,Cinema|Actors/actresses,59500000,India,1400000,1600000,50:24.8
All,56,shawnmendes,Shawn Mendes,https://www.instagram.com/shawnmendes/,Music,66500000,Brazil,923900,1400000,50:24.8
All,57,milliebobbybrown,Millie Bobby Brown,https://www.instagram.com/milliebobbybrown/,Cinema|Actors/actresses,47500000,Brazil,1400000,1700000,50:24.8
All,58,chrishemsworth,Chris Hemsworth,https://www.instagram.com/chrishemsworth/,Cinema|Actors/actresses,53500000,India,1200000,1500000,50:24.8
All,59,dlwlrma,이지금 IU,https://www.instagram.com/dlwlrma/,Art|Artists,25000000,South Korea,2700000,3200000,50:24.8
All,60,oliviarodrigo,Olivia Rodrigo,https://www.instagram.com/oliviarodrigo/,Music|Cinema|Actors/actresses,21600000,India,2900000,3600000,50:24.8
All,61,mosalah,Mohamed Salah,https://www.instagram.com/mosalah/,Sports with a ball,47900000,Egypt,1100000,1600000,50:24.8
All,62,rashmika_mandanna,Rashmika Mandanna,https://www.instagram.com/rashmika_mandanna/,Beauty|Art|Artists|Cinema|Actors/actresses,28600000,India,2300000,2700000,50:24.8
All,63,lelepons,Lele Pons,https://www.instagram.com/lelepons/,Music,47300000,Mexico,1000000,1600000,50:24.8
All,64,ursulolita,Úrsula Corberó 🐣,https://www.instagram.com/ursulolita/,Cinema|Actors/actresses|Modeling,24900000,Brazil,2000000,3000000,50:24.8
All,65,priyankachopra,Priyanka,https://www.instagram.com/priyankachopra/,Cinema|Actors/actresses,74000000,India,817700,997000,50:24.8
All,66,lilireinhart,Lili Reinhart,https://www.instagram.com/lilireinhart/,Cinema|Actors/actresses,29300000,Brazil,1700000,2500000,50:24.8
All,67,handemiyy,Hande Erçel,https://www.instagram.com/handemiyy/,Cinema|Actors/actresses,26700000,Turkey,2000000,2700000,50:24.8
All,68,ddlovato,Demi Lovato,https://www.instagram.com/ddlovato/,Music,125800000,United States,439400,564800,50:24.8
All,69,blackpinkofficial,BLΛƆKPIИK,https://www.instagram.com/blackpinkofficial/,Music,45200000,Indonesia,1200000,1500000,50:24.8
All,70,whinderssonnunes,Whindersson Nunes,https://www.instagram.com/whinderssonnunes/,Humor|Fun|Happiness,57100000,Brazil,781800,1200000,50:24.8
All,71,shraddhakapoor,Shraddha ✶,https://www.instagram.com/shraddhakapoor/,Cinema|Actors/actresses,68900000,India,797300,921500,50:24.8
All,72,meganfox,Megan Fox,https://www.instagram.com/meganfox/,Cinema|Actors/actresses,18800000,United States,2000000,3300000,50:24.8
All,73,haileybieber,Hailey Rhode Baldwin Bieber,https://www.instagram.com/haileybieber/,Lifestyle|Modeling,41000000,United States,1100000,1500000,50:24.8
All,74,bn_sj2013,박서준,https://www.instagram.com/bn_sj2013/,Cinema|Actors/actresses|Modeling|Lifestyle,20900000,Indonesia,2500000,3000000,50:24.8
All,75,kimberly.loaiza,KIM LOAIZA 🖤,https://www.instagram.com/kimberly.loaiza/,Clothing|Outfits|Lifestyle,33400000,Mexico,1500000,1900000,50:24.8
All,76,real__pcy,EXO_CY,https://www.instagram.com/real__pcy/,Music,23600000,Indonesia,2200000,2700000,50:24.8
All,77,katyperry,KATY PERRY,https://www.instagram.com/katyperry/,Music,151900000,Brazil,319500,408100,50:24.8
All,78,davidbeckham,David Beckham,https://www.instagram.com/davidbeckham/,Family|Sports with a ball,71100000,India,653200,866300,50:24.8
All,79,camila_cabello,camila,https://www.instagram.com/camila_cabello/,Music,60000000,Brazil,747600,1000000,50:24.8
All,80,paulpogba,Paul Labile Pogba,https://www.instagram.com/paulpogba/,Sports with a ball,51500000,Brazil,623400,1100000,50:24.8
All,81,aliaabhatt,Gangubai 🤍🙏,https://www.instagram.com/aliaabhatt/,Cinema|Actors/actresses,58900000,India,781800,970900,50:24.8
All,82,dojacat,Doja Cat,https://www.instagram.com/dojacat/,Music,19700000,United States,2100000,2900000,50:24.8
All,83,iamsrk,Shah Rukh Khan,https://www.instagram.com/iamsrk/,Cinema|Actors/actresses,28000000,India,1600000,2000000,50:24.8
All,84,realmadrid,Real Madrid C.F.,https://www.instagram.com/realmadrid/,Sports with a ball,109800000,Spain,364000,505000,50:24.8
All,85,jongsuk0206,이종석,https://www.instagram.com/jongsuk0206/,Cinema|Actors/actresses,21800000,Indonesia,1900000,2500000,50:24.8
All,86,miakhalifa,Mia K.,https://www.instagram.com/miakhalifa/,Fitness|Gym|Lifestyle,27000000,India,1300000,2000000,50:24.8
All,87,nasa,NASA,https://www.instagram.com/nasa/,Science|Photography,73900000,India,637700,738600,50:24.8
All,88,bellahadid,Bella 🦋,https://www.instagram.com/bellahadid/,Modeling,49100000,United States,685300,1100000,50:24.8
All,89,oohsehun,SEHUN,https://www.instagram.com/oohsehun/,Music,22800000,Indonesia,1900000,2400000,50:24.8
All,90,niallhoran,Niall Horan,https://www.instagram.com/niallhoran/,Music,29200000,United States,1300000,1800000,50:24.8
All,91,hoooooyeony,Hoyeon,https://www.instagram.com/hoooooyeony/,Lifestyle,23500000,South Korea,1700000,2200000,50:24.8
All,92,addisonraee,Addison Rae,https://www.instagram.com/addisonraee/,Beauty,40300000,United States,826000,1300000,50:24.8
All,93,beingsalmankhan,Salman Khan,https://www.instagram.com/beingsalmankhan/,Cinema|Actors/actresses|Art|Artists,49500000,India,818300,1000000,50:24.8
All,94,twicetagram,TWICE,https://www.instagram.com/twicetagram/,Music|Modeling,23500000,Indonesia,1700000,2100000,50:24.8
All,95,emmawatson,Emma Watson,https://www.instagram.com/emmawatson/,Literature|Journalism|Cinema|Actors/actresses|Fashion,65700000,United States,549600,753600,50:24.8
All,96,zacefron,Zac Efron,https://www.instagram.com/zacefron/,Cinema|Actors/actresses,51400000,United States,665400,961700,50:24.8
All,97,nike,Nike,https://www.instagram.com/nike/,Fitness|Gym|Shopping|Retail|Clothing|Outfits,199000000,United States,200500,257800,50:24.8
All,98,madelame,Madelaine Petsch,https://www.instagram.com/madelame/,Cinema|Actors/actresses,25400000,Russia,1400000,1900000,50:24.8
All,99,virginia,Virginia Fonseca Costa,https://www.instagram.com/virginia/,Shows|Lifestyle,33300000,Brazil,923300,1400000,50:24.8
All,100,jenniferaniston,Jennifer Aniston,https://www.instagram.com/jenniferaniston/,Cinema|Actors/actresses,39600000,Brazil,826400,1200000,50:24.8
All,101,iamhalsey,halsey,https://www.instagram.com/iamhalsey/,Music,28300000,United States,1300000,1700000,50:24.8
All,102,paulodybala,Paulo Dybala,https://www.instagram.com/paulodybala/,Sports with a ball,45500000,Argentina,640200,1000000,50:24.8
All,103,dovecameron,DOVE,https://www.instagram.com/dovecameron/,Cinema|Actors/actresses,44900000,United States,787900,1000000,50:24.8
All,104,antonelaroccuzzo,Antonela Roccuzzo,https://www.instagram.com/antonelaroccuzzo/,Modeling|Family,18700000,Argentina,1500000,2400000,50:24.8
All,105,camimendes,camila mendes,https://www.instagram.com/camimendes/,Cinema|Actors/actresses,26900000,Brazil,1100000,1600000,50:24.8
All,106,theweeknd,The Weeknd,https://www.instagram.com/theweeknd/,Music,36700000,United States,858800,1200000,50:24.8
All,107,norafatehi,Nora Fatehi,https://www.instagram.com/norafatehi/,Cinema|Actors/actresses|Music|Shows,37800000,India,917500,1100000,50:24.8
All,108,iamzlatanibrahimovic,Zlatan Ibrahimović,https://www.instagram.com/iamzlatanibrahimovic/,Sports with a ball,52100000,Italy,525300,806100,50:24.8
All,109,karimbenzema,Karim Benzema,https://www.instagram.com/karimbenzema/,Sports with a ball,45200000,France,620700,895300,50:24.8
All,110,nehakakkar,Neha Kakkar (Mrs. Singh),https://www.instagram.com/nehakakkar/,Music,67600000,India,511500,595900,50:24.8
All,111,skawngur,남주혁,https://www.instagram.com/skawngur/,Cinema|Actors/actresses,16700000,Indonesia,1700000,2400000,50:24.8
All,112,chrisbrownofficial,BREEZY,https://www.instagram.com/chrisbrownofficial/,Music,103900000,United States,247700,388400,50:24.8
All,113,hi_high_hiy,황인엽,https://www.instagram.com/hi_high_hiy/,Cinema|Actors/actresses,12300000,South Korea,2700000,3200000,50:24.8
All,114,realstraykids,Stray Kids,https://www.instagram.com/realstraykids/,Music,19100000,Indonesia,1600000,2000000,50:24.8
All,115,songkang_b,송강,https://www.instagram.com/songkang_b/,,12800000,Mexico,2100000,2900000,50:24.8
All,116,vindiesel,Vin Diesel,https://www.instagram.com/vindiesel/,Cinema|Actors/actresses,78200000,Brazil,363400,467200,50:24.8
All,117,sergioramos,Sergio Ramos,https://www.instagram.com/sergioramos/,Sports with a ball,49400000,Spain,477400,731700,50:24.8
All,118,shakira,Shakira,https://www.instagram.com/shakira/,Music,71600000,India,367500,500700,50:24.8
All,119,louist91,Louis Tomlinson,https://www.instagram.com/louist91/,Music,18100000,Brazil,1400000,2000000,50:24.8
All,120,ladygaga,Lady Gaga,https://www.instagram.com/ladygaga/,Music|Cinema|Actors/actresses,51400000,United States,483200,674700,50:24.8
All,121,varundvn,VarunDhawan,https://www.instagram.com/varundvn/,Cinema|Actors/actresses,39900000,India,706500,862400,50:24.8
All,122,kjapa,KJ Apa,https://www.instagram.com/kjapa/,Cinema|Actors/actresses,19100000,United States,1200000,1800000,50:24.8
All,123,dannapaola,Danna Paola,https://www.instagram.com/dannapaola/,Music,33200000,Mexico,705800,1000000,50:24.8
All,124,iansomerhalder,iansomerhalder,https://www.instagram.com/iansomerhalder/,Cinema|Actors/actresses,22300000,United States,1000000,1500000,50:24.8
All,125,saraalikhan95,Sara Ali Khan,https://www.instagram.com/saraalikhan95/,Cinema|Actors/actresses,39300000,India,699900,852000,50:24.8
All,126,jannatzubair29,Jannat Zubair Rahmani,https://www.instagram.com/jannatzubair29/,Cinema|Actors/actresses,40000000,India,682800,833600,50:24.8
All,127,deepikapadukone,Deepika Padukone,https://www.instagram.com/deepikapadukone/,Cinema|Actors/actresses,64200000,India,394500,516300,50:24.8
All,128,championsleague,UEFA Champions League,https://www.instagram.com/championsleague/,Sports with a ball,87900000,Brazil,277700,376000,50:24.8
All,129,sabrinacarpenter,Sabrina Carpenter,https://www.instagram.com/sabrinacarpenter/,Music,26600000,Brazil,1000000,1200000,50:24.8
All,130,juliette,Juliette,https://www.instagram.com/juliette/,Cinema|Actors/actresses,33400000,Brazil,629400,996000,50:24.8
All,131,alluarjunonline,Allu Arjun,https://www.instagram.com/alluarjunonline/,Cinema|Actors/actresses,16400000,India,1600000,2000000,50:24.8
All,132,maluma,MALUMA,https://www.instagram.com/maluma/,Music,60900000,Italy,341400,529300,50:24.8
All,133,hazardeden_10,Eden Hazard,https://www.instagram.com/hazardeden_10/,Sports with a ball,26900000,Spain,729500,1200000,50:24.8
All,134,hrithikroshan,Hrithik Roshan,https://www.instagram.com/hrithikroshan/,Cinema|Actors/actresses,41300000,India,601800,761600,50:24.8
All,135,luisitocomunica,Luisillo El Pillo,https://www.instagram.com/luisitocomunica/,Humor|Fun|Happiness|Clothing|Outfits,31000000,Mexico,734700,970700,50:24.8
All,136,jacksonwang852g7,Jackson Wang 王嘉爾 왕잭슨,https://www.instagram.com/jacksonwang852g7/,Music,27000000,China,934200,1100000,50:24.8
All,137,madisonbeer,Madison Beer,https://www.instagram.com/madisonbeer/,Music,30100000,United States,665500,992500,50:24.8
All,138,kunaguero,Sergio Leonel Agüero,https://www.instagram.com/kunaguero/,Sports with a ball,21800000,Argentina,777700,1300000,50:24.8
All,139,elrubiuswtf,el rubius WTF,https://www.instagram.com/elrubiuswtf/,Computers|Gadgets,16000000,Mexico,1600000,1800000,50:24.8
All,140,mrbeast,MrBeast,https://www.instagram.com/mrbeast/,Shows|Humor|Fun|Happiness,17400000,United States,1300000,1700000,50:24.8
All,141,rohitsharma45,Rohit Sharma,https://www.instagram.com/rohitsharma45/,Sports with a ball|Lifestyle,22500000,India,1100000,1300000,50:24.8
All,142,madelyncline,Maddie,https://www.instagram.com/madelyncline/,,12100000,United States,1700000,2400000,50:24.8
All,143,stephencurry30,Wardell Curry,https://www.instagram.com/stephencurry30/,Sports with a ball|Family,39800000,United States,542300,725500,50:24.8
All,144,_jeongjaehyun,Jaehyun,https://www.instagram.com/_jeongjaehyun/,,10400000,Indonesia,2200000,2800000,50:24.8
All,145,jamesrodriguez10,James Rodríguez,https://www.instagram.com/jamesrodriguez10/,Sports with a ball,48600000,Colombia,388400,591100,50:24.8
All,146,433,433,https://www.instagram.com/433/,Sports with a ball,46800000,Spain,366400,609700,50:24.8
All,147,eminem,Marshall Mathers,https://www.instagram.com/eminem/,Cinema|Actors/actresses|Music,33900000,Iran,648400,837800,50:24.8
All,148,phil.coutinho,Philippe Coutinho,https://www.instagram.com/phil.coutinho/,Sports with a ball,24100000,Brazil,704100,1100000,50:24.8
All,149,noahschnapp,Noah Schnapp®,https://www.instagram.com/noahschnapp/,Cinema|Actors/actresses,19900000,Brazil,1100000,1400000,50:24.8
All,150,rosalia.vt,LA ROSALÍA,https://www.instagram.com/rosalia.vt/,Music,18600000,Spain,1100000,1500000,50:24.8
All,151,lewishamilton,Lewis Hamilton,https://www.instagram.com/lewishamilton/,Racing|Sports,26900000,Brazil,707800,1000000,50:24.8
All,152,dixiedamelio,dixie,https://www.instagram.com/dixiedamelio/,Music|Clothing|Outfits,25300000,United States,732000,1100000,50:24.8
All,153,anuel,“REAL HASTA LA MUERTE”,https://www.instagram.com/anuel/,Music,26800000,Spain,660300,1000000,50:24.8
All,154,riaricis1795,RICIS,https://www.instagram.com/riaricis1795/,Lifestyle,29800000,Indonesia,726900,890800,50:24.8
All,155,emmachamberlain,emma chamberlain,https://www.instagram.com/emmachamberlain/,Lifestyle|Shows,15100000,United States,1100000,1700000,50:24.8
All,156,thenotoriousmma,Conor McGregor Official,https://www.instagram.com/thenotoriousmma/,Fitness|Gym,44000000,United States,398700,579600,50:24.8
All,157,kartikaaryan,KARTIK AARYAN,https://www.instagram.com/kartikaaryan/,Cinema|Actors/actresses,23400000,India,860600,1100000,50:24.8
All,158,brentrivera,Brent Rivera,https://www.instagram.com/brentrivera/,Music|Cinema|Actors/actresses,22100000,United States,865300,1100000,50:24.8
All,159,kritisanon,Kriti,https://www.instagram.com/kritisanon/,Modeling,45900000,India,457600,534300,50:24.8
All,160,shahidkapoor,Shahid Kapoor,https://www.instagram.com/shahidkapoor/,Cinema|Actors/actresses,33100000,India,644200,731200,50:24.8
All,161,dishapatani,disha patani (paatni) 🦋,https://www.instagram.com/dishapatani/,Cinema|Actors/actresses|Lifestyle,48500000,India,402800,495900,50:24.8
All,162,marcelotwelve,Marcelo Vieira,https://www.instagram.com/marcelotwelve/,Sports with a ball,51900000,Spain,308000,463000,50:24.8
All,163,nina,Nina Dobrev,https://www.instagram.com/nina/,Cinema|Actors/actresses,25200000,Brazil,653400,937800,50:24.8
All,164,manchesterunited,Manchester United,https://www.instagram.com/manchesterunited/,Sports with a ball,54700000,United Kingdom,270400,431000,50:24.8
All,165,cznburak,Burak Özdemir,https://www.instagram.com/cznburak/,Food|Cooking,31200000,Turkey,556200,755000,50:24.8
All,166,thedeverakonda,Vijay Deverakonda,https://www.instagram.com/thedeverakonda/,Cinema|Actors/actresses,14600000,India,1300000,1600000,50:24.8
All,167,brunamarquezine,Bruna Marquezine,https://www.instagram.com/brunamarquezine/,Cinema|Actors/actresses,42000000,Brazil,320000,552600,50:24.8
All,168,natgeo,National Geographic,https://www.instagram.com/natgeo/,Nature  landscapes|Science|Photography,206600000,United States,85700,111800,50:24.8
All,169,nusr_et,Nusr_et#Saltbae,https://www.instagram.com/nusr_et/,Food|Cooking,42200000,Turkey,371300,546600,50:24.8
All,170,taehyung.bighitentertainment,TAEHYUNG (김태형) Updates,https://www.instagram.com/taehyung.bighitentertainment/,Management|Marketing|Music,10600000,Indonesia,2100000,2200000,50:24.8
All,171,haileesteinfeld,hailee steinfeld,https://www.instagram.com/haileesteinfeld/,Cinema|Actors/actresses,17800000,United States,1000000,1300000,50:24.8
All,172,skuukzky,숮이  💄💅👡👠🎀👙🌂👗🌂🎀💋💌,https://www.instagram.com/skuukzky/,Clothing|Outfits|Music,17300000,Indonesia,1100000,1300000,50:24.8
All,173,garethbale11,Gareth Bale,https://www.instagram.com/garethbale11/,Sports with a ball,46000000,Spain,314300,492800,50:24.8
All,174,sadiesink_,Sadie Sink,https://www.instagram.com/sadiesink_/,Modeling|Lifestyle|Beauty,15200000,Brazil,1000000,1500000,50:24.8
All,175,domelipa,domelipa,https://www.instagram.com/domelipa/,Lifestyle,16500000,Mexico,1100000,1300000,50:24.8
All,176,daviddobrik,DAVID DOBRIK,https://www.instagram.com/daviddobrik/,Humor|Fun|Happiness|Cinema|Actors/actresses,12500000,United States,1200000,1800000,50:24.8
All,177,samantharuthprabhuoffl,Samantha,https://www.instagram.com/samantharuthprabhuoffl/,Beauty|Modeling|Cinema|Actors/actresses,21600000,India,854800,1000000,50:24.8
All,178,feliciathegoat,"Tyler, The Creator",https://www.instagram.com/feliciathegoat/,Music,12000000,United States,1100000,1800000,50:24.8
All,179,anitta,Anitta 🎤,https://www.instagram.com/anitta/,Music,59100000,Brazil,195000,369300,50:24.8
All,180,miguel.g.herran,Miguel Herrán,https://www.instagram.com/miguel.g.herran/,Cinema|Actors/actresses,14400000,Brazil,994500,1500000,50:24.8
All,181,carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,https://www.instagram.com/carryminati/,Computers|Gadgets|Machinery|Technologies,14500000,India,1300000,1500000,50:24.8
All,182,jungkook_bighitentertainment,JUNGKOOK (전정국) Updates,https://www.instagram.com/jungkook_bighitentertainment/,Management|Marketing|Music,10200000,Brazil,1900000,2100000,50:24.8
All,183,loganpaul,Logan Paul,https://www.instagram.com/loganpaul/,Fitness|Gym,22200000,United States,719300,960500,50:24.8
All,184,johnnydepp,Johnny Depp,https://www.instagram.com/johnnydepp/,Cinema|Actors/actresses,11700000,India,1400000,1800000,50:24.8
All,185,phs1116,박형식 / PARKHYUNGSIK,https://www.instagram.com/phs1116/,Business|Careers,9200000,Indonesia,1900000,2300000,50:24.8
All,186,xxxibgdrgn,권지용(權志龍),https://www.instagram.com/xxxibgdrgn/,Photography|Fashion,20400000,Indonesia,811200,1000000,50:24.8
All,187,theestallion,Megan Thee Stallion,https://www.instagram.com/theestallion/,Music,27500000,United States,437700,764300,50:24.8
All,188,kiaraaliaadvani,KIARA,https://www.instagram.com/kiaraaliaadvani/,Cinema|Actors/actresses,21700000,India,838700,952300,50:24.8
All,189,paulolondra,Paulo londra,https://www.instagram.com/paulolondra/,Music,11400000,Argentina,1200000,1800000,50:24.8
All,190,evaluna,Evaluna Montaner de Echeverry,https://www.instagram.com/evaluna/,Family|Music,19100000,Argentina,780300,1100000,50:24.8
All,191,leedongwook_official,이동욱 (Official_Instagram),https://www.instagram.com/leedongwook_official/,Cinema|Actors/actresses,13600000,Indonesia,1100000,1500000,50:24.8
All,192,sommerray,Sommer Ray,https://www.instagram.com/sommerray/,Modeling,26800000,United States,487600,763900,50:24.8
All,193,juandediospantoja,JD PANTOJA 🇲🇽,https://www.instagram.com/juandediospantoja/,Music|Art|Artists|Cinema|Actors/actresses,21200000,Mexico,848200,968200,50:24.8
All,194,tyga,T-Raww,https://www.instagram.com/tyga/,Music,30900000,United States,442600,660200,50:24.8
All,195,erling.haaland,Erling Braut Haaland,https://www.instagram.com/erling.haaland/,,14500000,Brazil,936900,1400000,50:24.8
All,196,jbalvin,J Balvin,https://www.instagram.com/jbalvin/,Music,51400000,Mexico,298300,389800,50:24.8
All,197,jacquelinef143,Jacqueline Fernandez,https://www.instagram.com/jacquelinef143/,Cinema|Actors/actresses,57900000,India,281000,341400,50:24.8
All,198,annehathaway,Anne Hathaway,https://www.instagram.com/annehathaway/,Cinema|Actors/actresses,22000000,United States,674600,889500,50:24.8
All,199,hardikpandya93,Hardik Himanshu Pandya,https://www.instagram.com/hardikpandya93/,Sports with a ball,20200000,India,771700,967600,50:24.8
All,200,wi__wi__wi,위하준 Wi Ha Jun,https://www.instagram.com/wi__wi__wi/,,10000000,South Korea,1600000,2000000,50:24.8
All,201,kevinhart4real,Kevin Hart,https://www.instagram.com/kevinhart4real/,Cinema|Actors/actresses,136600000,United States,108500,142700,50:24.8
All,202,henrycavill,Henry Cavill,https://www.instagram.com/henrycavill/,Cinema|Actors/actresses,19200000,Brazil,834200,1000000,50:24.8
All,203,lanarhoades,Lana Rhoades,https://www.instagram.com/lanarhoades/,Lifestyle|Modeling,16800000,United States,700900,1200000,50:24.8
All,204,gianlucavacchi,Gianluca Vacchi,https://www.instagram.com/gianlucavacchi/,Lifestyle,21800000,Brazil,576700,887500,50:24.8
All,205,joeyking,Joey King,https://www.instagram.com/joeyking/,Music|Cinema|Actors/actresses|Modeling,18900000,Brazil,706900,1000000,50:24.8
